Date,Annual Average Price
2025-12-31,3124.05
2024-12-31,2388.98
2023-12-31,1943.0
2022-12-31,1801.87
2021-12-31,1798.89
2020-12-31,1773.73
2019-12-31,1393.34
2018-12-31,1268.93
2017-12-31,1260.39
2016-12-31,1251.92
2015-12-31,1158.86
2014-12-31,1266.06
2013-12-31,1409.51
2012-12-31,1668.86
2011-12-31,1573.16
2010-12-31,1226.66
2009-12-31,973.66
2008-12-31,872.37
2007-12-31,696.43
2006-12-31,604.34
2005-12-31,444.99
2004-12-31,409.53
2003-12-31,363.83
2002-12-31,310.08
2001-12-31,271.19
2000-12-31,279.29
1999-12-31,278.86
1998-12-31,294.12
1997-12-31,331.0
1996-12-31,387.73
1995-12-31,384.07
1994-12-31,384.16
1993-12-31,360.05
1992-12-31,343.87
1991-12-31,362.34
1990-12-31,383.73
1989-12-31,381.27
1988-12-31,436.78
1987-12-31,446.84
1986-12-31,368.2
1985-12-31,317.42
1984-12-31,360.65
1983-12-31,423.71
1982-12-31,376.11
1981-12-31,459.16
1980-12-31,614.75
1979-12-31,307.01
1978-12-31,193.57
1977-12-31,147.84
1976-12-31,124.8
1975-12-31,160.87
1974-12-31,158.76
1973-12-31,97.12
1972-12-31,58.17
1971-12-31,40.8
1970-12-31,35.96
1969-12-31,41.1
1968-12-31,39.84
